사업장명칭,주사육업종,사업장소재지(도로명),사육두수
규삼농장,한우,경상남도 진주시 문산읍 갈곡길16번길 12,4
들풀농원,산양,,30
서촌농장,한우,경상남도 진주시 이반성면 하곡로 83,4
자문농장,한우,경상남도 진주시 문산읍 문산로 718,15
계택농장,한우,경상남도 진주시 일반성면 창촌길79번길 15,1
경진농장,한우,경상남도 진주시 일반성면 수목원로277번길 40,1
명환농장,한우,경상남도 진주시 일반성면 운천길151번길 20-1,7
명상농장,한우,경상남도 진주시 일반성면 일사로 400-4,10
병대농장,한우,경상남도 진주시 금산면 달음산로53번길 36-1,2
배산골농원,산양,경상남도 진주시 이반성면 하곡로 150-75,50
토현농장,산양,,100
남식농장,한우,경상남도 진주시 진성면 동산길52번길 10-3,10
달골농장,산양,경상남도 진주시 사봉면 산업단지로 95-44,16
사봉염소농장,산양,경상남도 진주시 사봉면 사군로791번길 123-69,200
임양수농장,한우,경상남도 진주시 미천면 어옥로 187,6
임부길농장,한우,경상남도 진주시 미천면 어옥로 177-3,1
하연농장,산양,,30
경단흑염소,염소,,15
정성대농장,염소,,34
진주염소,염소,,50
외율농장,사슴,경상남도 진주시 명석면 성철로 389-17,21
수성농장,한우,경상남도 진주시 이반성면 진마대로2520번길 108-4,4
우리목장,산양,경상남도 진주시 진성면 진성로 350-105,4
부일농장,산양,,30
털보농장,산양,,4
부자농장,한우,경상남도 진주시 미천면 상미로 253-25,20
